Product Name,Description,Price Range,Average Rating,Amazon Search Link,Image File Name
Benebone Wishbone Durable Dog Chew Toy (Real Bacon Flavor),Durable wishbone-shaped chew toy made with real bacon flavor for dogs who love to chew,$12-15,4.5/5 stars,https://www.amazon.com/s?k=Benebone+Wishbone+Durable+Dog+Chew+Toy+%28Real+Bacon+Flavor%29&tag=idls-20,benebone_wishbone.jpg
Nylabone Original Power Chew Classic Bone (Peanut Butter Flavor),Classic bone-shaped power chew toy with peanut butter flavor for aggressive chewers,$8-10,4.5/5 stars,https://www.amazon.com/s?k=Nylabone+Original+Power+Chew+Classic+Bone+%28Peanut+Butter+Flavor%29&tag=idls-20,nylabone_power_chew.jpg
Nylabone Power Chew Textured Ring (Flavor Medley),Textured ring chew toy with multiple flavors designed for power chewing dogs,$10-15,4.6/5 stars,https://www.amazon.com/s?k=Nylabone+Power+Chew+Textured+Ring+%28Flavor+Medley%29&tag=idls-20,nylabone_textured_ring.jpg
KONG Classic Stuffable Dog Toy (Natural Rubber),Classic natural rubber toy that can be stuffed with treats for interactive play,$10-13,4.7/5 stars,https://www.amazon.com/s?k=KONG+Classic+Stuffable+Dog+Toy+%28Natural+Rubber%29&tag=idls-20,kong_classic.jpg
"KONG Extreme Dog Toy (Black, for Power Chewers)",Heavy-duty black rubber toy designed specifically for power chewing dogs,$12-15,4.6/5 stars,https://www.amazon.com/s?k=KONG+Extreme+Dog+Toy+%28Black%2C+for+Power+Chewers%29&tag=idls-20,kong_extreme.jpg
Chuckit! Ultra Ball (High-Bounce Fetch Ball),High-bounce rubber ball designed for interactive fetch games and outdoor play,$5-9,4.8/5 stars,https://www.amazon.com/s?k=Chuckit%21+Ultra+Ball+%28High-Bounce+Fetch+Ball%29&tag=idls-20,chuckit_ultra_ball.jpg
Wobble Wag Giggle Ball (Interactive Noisy Fetch Ball),"Interactive ball that makes giggling sounds when played with, no batteries required",$12-15,4.4/5 stars,https://www.amazon.com/s?k=Wobble+Wag+Giggle+Ball+%28Interactive+Noisy+Fetch+Ball%29&tag=idls-20,wobble_wag_giggle.jpg
Mammoth Flossy Chews Cottonblend Rope Tug (3-Knot),"Cotton blend rope toy with 3 knots, perfect for tugging and dental health",$8-15,4.4/5 stars,https://www.amazon.com/s?k=Mammoth+Flossy+Chews+Cottonblend+Rope+Tug+%283-Knot%29&tag=idls-20,mammoth_rope_tug.jpg
"Multipet ""Lamb Chop"" Plush Squeaky Dog Toy",Classic plush Lamb Chop character toy with squeaker for comfort and play,$5-10,4.7/5 stars,https://www.amazon.com/s?k=Multipet+%22Lamb+Chop%22+Plush+Squeaky+Dog+Toy&tag=idls-20,multipet_lamb_chop.jpg
Best Pet Supplies 2-in-1 Stuffless Squeaky Toys (Plush Raccoon/Fox),"Stuffing-free plush toys with squeakers, available in raccoon and fox designs",$10-15,4.6/5 stars,https://www.amazon.com/s?k=Best+Pet+Supplies+2-in-1+Stuffless+Squeaky+Toys+%28Plush+Raccoon%2FFox%29&tag=idls-20,best_pet_stuffless.jpg
Jalousie 5-Pack Plush Dog Toys (Assorted Squeaky Toys),Set of 5 assorted plush squeaky toys in various animal designs for small to medium dogs,$20-23,4.5/5 stars,https://www.amazon.com/s?k=Jalousie+5-Pack+Plush+Dog+Toys+%28Assorted+Squeaky+Toys%29&tag=idls-20,jalousie_5pack.jpg
Outward Hound Nina Ottosson Dog Brick Puzzle Toy (Interactive Treat Puzzle),Level 2 difficulty puzzle toy that challenges dogs to find hidden treats using sliding compartments,$15-25,4.4/5 stars,https://www.amazon.com/s?k=Outward+Hound+Nina+Ottosson+Dog+Brick+Puzzle+Toy+%28Interactive+Treat+Puzzle%29&tag=idls-20,outward_hound_brick.jpg
Outward Hound Hide-A-Squirrel Puzzle Plush (Hide and Seek Toy),Interactive plush tree trunk toy with removable squeaky squirrels for hide and seek play,$15-25,4.6/5 stars,https://www.amazon.com/s?k=Outward+Hound+Hide-A-Squirrel+Puzzle+Plush+%28Hide+and+Seek+Toy%29&tag=idls-20,outward_hound_squirrel.jpg
Petstages Dogwood Chew Stick (Wood Alternative Chew Toy),Safe wood alternative chew stick that satisfies dogs' natural urge to chew on wood,$6-15,4.6/5 stars,https://www.amazon.com/s?k=Petstages+Dogwood+Chew+Stick+%28Wood+Alternative+Chew+Toy%29&tag=idls-20,petstages_dogwood.jpg
SmartPetLove Snuggle Puppy Behavioral Aid Toy (Comfort Plush),Behavioral aid toy with real-feel heartbeat and heat pack to comfort anxious dogs and puppies,~$39,4.4/5 stars,https://www.amazon.com/s?k=SmartPetLove+Snuggle+Puppy+Behavioral+Aid+Toy+%28Comfort+Plush%29&tag=idls-20,smartpetlove_snuggle.jpg
Chuckit! Paraflight Flyer (Flying Disc Toy),Soft flying disc with multilayer construction for safe and fun fetch games,$10-13,4.6/5 stars,https://www.amazon.com/s?k=Chuckit%21+Paraflight+Flyer+%28Flying+Disc+Toy%29&tag=idls-20,chuckit_paraflight.jpg
